PRcon534_35:12	should	MD(MD)	shall
PRcon534_35:13	n't	RB(RB)	not
PRcon534_35:14	it	PP(PP)	it
PRcon534_35:15	work	VV(VV)	work
PRcon534_35:16	in	IN(IN)	in
PRcon534_35:17	two	CD(CD)	two
PRcon534_35:18	er	UH(UH)	er
PRcon534_35:19	dimension	NN(NNS)	dimension
PRcon534_35:20	_2	PA(PA)	

PRcon534_36:1	if	IN(IN)	if
PRcon534_36:2	if	IN(IN)	if

PRcon534_37:1	you	PP(PP)	you
PRcon534_37:2	know	VVP(VVP)	know
PRcon534_37:3	it	PP(PP)	it
PRcon534_37:4	what	WP(WP)	what
PRcon534_37:5	i	PP(PP)	i
PRcon534_37:6	'm	VBP(VBP)	be
PRcon534_37:7	saying	VVG(VVG)	say
PRcon534_37:8	_0	PA(PA)	

PRcon534_38:1	well	DM(DM)	well
PRcon534_38:2	if	IN(IN)	if
PRcon534_38:3	if	IN(IN)	if
PRcon534_38:4	if	IN(IN)	if
PRcon534_38:5	commutator	NN(NN)	commutator
PRcon534_38:6	types	NNS(NNS)	type
PRcon534_38:7	all	DT(DT)	all
PRcon534_38:8	kinds	NNS(NNS)	kind
PRcon534_38:9	of	IN(IN)	of
PRcon534_38:10	commutator	NN(NN)	commutator
PRcon534_38:11	types	NNS(NNS)	type
PRcon534_38:12	er	UH(UH)	er
PRcon534_38:13	work	VVP(VVP)	work
PRcon534_38:14	in	IN(IN)	in
PRcon534_38:15	two	CD(CD)	two
PRcon534_38:16	dimensions	NNS(NNS)	dimension
PRcon534_38:17	why	WRB(WRB)	why
PRcon534_38:18	do	VVP(VVP)	do
PRcon534_38:19	n't	RB(RB)	not
PRcon534_38:20	you	PP(PP)	you
PRcon534_38:21	work	VV(VV)	work
PRcon534_38:22	in	IN(IN)	in
PRcon534_38:23	higher	JJR(JJR)	high
PRcon534_38:24	dimensions	NNS(NNS)	dimension
PRcon534_38:25	because	IN(IN)	because
PRcon534_38:26	you	PP(PP)	you
