PRcon599_40:28	_1	PA(PA)	
PRcon599_40:29	time	NN(NN)	time
PRcon599_40:30	at	IN(IN)	at
PRcon599_40:31	the	DT(DT)	the
PRcon599_40:32	university	NN(NN)	university
PRcon599_40:33	for	IN(IN)	for
PRcon599_40:34	_0	PA(PA)	
PRcon599_40:35	three	CD(CD)	three
PRcon599_40:36	of	IN(IN)	of
PRcon599_40:37	six	CD(CD)	six
PRcon599_40:38	years	NNS(NNS)	year
PRcon599_40:39	and	CC(CC)	and
PRcon599_40:40	er	UH(UH)	er
PRcon599_40:41	you	PP(PP)	you
PRcon599_40:42	have	VHP(VHP)	have
PRcon599_40:43	to	TO(TO)	to
PRcon599_40:44	finish	VV(VV)	finish
PRcon599_40:45	your	PP$(PP$)	you
PRcon599_40:46	second	JJ(JJ)	second
PRcon599_40:47	er	UH(UH)	er
PRcon599_40:48	_1	PA(PA)	
PRcon599_40:49	erm	UH(UH)	erm
PRcon599_40:50	_1	PA(PA)	
PRcon599_40:51	s_phd	NN(NN)	s_phd
PRcon599_40:52	you	PP(PP)	you
PRcon599_40:53	can	MD(MD)	can
PRcon599_40:54	say	VV(VV)	say
PRcon599_40:55	_0	PA(PA)	
PRcon599_40:56	p_habilitation	PVC(NN)	
PRcon599_40:57	degree	NN(NN)	degree
PRcon599_40:58	and	CC(CC)	and
PRcon599_40:59	then	RB(RB)	then

PRcon599_41:1	aha	RE(RE)	aha
PRcon599_41:2	_1	PA(PA)	

PRcon599_42:1	then	RB(RB)	then
PRcon599_42:2	you	PP(PP)	you
PRcon599_42:3	can	MD(MD)	can
PRcon599_42:4	apply	VV(VV)	apply
PRcon599_42:5	for	IN(IN)	for
PRcon599_42:6	er	UH(UH)	er
PRcon599_42:7	_0	PA(PA)	
PRcon599_42:8	associate	JJ(JJ)	associate
PRcon599_42:9	professorships	NNS(NNS)	professorship
PRcon599_42:10	or	CC(CC)	or
PRcon599_42:11	for	IN(IN)	for
PRcon599_42:12	full	JJ(JJ)	full
PRcon599_42:13	professorships	NNS(NNS)	professorship
PRcon599_42:14	xx	UNI(UNI)	

