LEint551_46:4	do	VVP(VVP)	do
LEint551_46:5	n't	RB(RB)	not
LEint551_46:6	_0	PA(PA)	
LEint551_46:7	we	PP(PP)	we
LEint551_46:8	do	VVP(VVP)	do
LEint551_46:9	n't	RB(RB)	not
LEint551_46:10	know	VV(VV)	know
LEint551_46:11	_0	PA(PA)	
LEint551_46:12	this	DT(DT)	this
LEint551_46:13	in	IN(IN)	in
LEint551_46:14	belgium	NP(NP)	belgium
LEint551_46:15	@@	LA(LA)	
LEint551_46:16	hh	BR(BR)	
LEint551_46:17	because	IN(IN)	because
LEint551_46:18	the	DT(DT)	the
LEint551_46:19	_0	PA(PA)	
LEint551_46:20	the	DT(DT)	the
LEint551_46:21	highest	JJS(JJS)	high
LEint551_46:22	point	NN(NN)	point
LEint551_46:23	@	LA(LA)	
LEint551_46:24	is	VBZ(VBZ)	be
LEint551_46:25	er	UH(UH)	er
LEint551_46:26	_0	PA(PA)	

LEint551_47:1	mhm	RE(RE)	mhm

LEint551_48:1	six	CD(CD)	six
LEint551_48:2	hundred	CD(CD)	hundred
LEint551_48:3	metre	NN(NN)	metre
LEint551_48:4	@@@	LA(LA)	
LEint551_48:5	hh	BR(BR)	
LEint551_48:6	so	DM(DM)	so
LEint551_48:7	it	PP(PP)	it
LEint551_48:8	's	VBS(VBS)	be
LEint551_48:9	er	UH(UH)	er
LEint551_48:10	a	DT(DT)	a
LEint551_48:11	plate	NN(NN)	plate
LEint551_48:12	er	UH(UH)	er
LEint551_48:13	_0	PA(PA)	

LEint551_49:1	yes	RE(RE)	yes

LEint551_50:1	er	UH(UH)	er
LEint551_50:2	land	NN(NN)	land
LEint551_50:3	@@@@	LA(LA)	

LEint551_51:1	and	CC(CC)	and
LEint551_51:2	did	VVD(VVD)	do
LEint551_51:3	you	PP(PP)	you
LEint551_51:4	get	VV(VV)	get
LEint551_51:5	a	DT(DT)	a
LEint551_51:6	chance	NN(NN)	chance
LEint551_51:7	to	TO(TO)	to
LEint551_51:8	go	VV(VV)	go
LEint551_51:9	up	RB(RB)	up
LEint551_51:10	somewhere	RB(RB)	somewhere
LEint551_51:11	already	RB(RB)	already
LEint551_51:12	_0	PA(PA)	

LEint551_52:1	yeah	RE(RE)	yeah
LEint551_52:2	but	CC(CC)	but
LEint551_52:3	i	PP(PP)	i
LEint551_52:4	do	VVP(VVP)	do
LEint551_52:5	n't	RB(RB)	not
LEint551_52:6	like	VV(VV)	like
LEint551_52:7	to	TO(TO)	to
LEint551_52:8	walk	VV(VV)	walk
LEint551_52:9	in	IN(IN)	in
LEint551_52:10	mountain	NN(NN)	mountain
LEint551_52:11	@@@	LA(LA)	

LEint551_53:1	@@@	LA(LA)	
LEint551_53:2	hh	BR(BR)	
LEint551_53:3	hh	BR(BR)	
LEint551_53:4	@@@	LA(LA)	

LEint551_54:1	i	PP(PP)	i
LEint551_54:2	prefer	VVP(VVP)	prefer
LEint551_54:3	stay	VV(VV)	stay
LEint551_54:4	and	CC(CC)	and
LEint551_54:5	_0	PA(PA)	
LEint551_54:6	just	RB(RB)	just
LEint551_54:7	look	VV(VV)	look
LEint551_54:8	at	IN(IN)	at
LEint551_54:9	the	DT(DT)	the
LEint551_54:10	mountain	NN(NN)	mountain
LEint551_54:11	@@@	LA(LA)	

LEint551_55:1	@	LA(LA)	
LEint551_55:2	hh	BR(BR)	
LEint551_55:3	@@	LA(LA)	
LEint551_55:4	i	PP(DM)	i
LEint551_55:5	see	VVP(DM)	see
LEint551_55:6	hh	BR(BR)	
LEint551_55:7	so	DM(DM)	so
LEint551_55:8	what	WP(WP)	what
LEint551_55:9	are	VBP(VBP)	be
LEint551_55:10	your	PP$(PP$)	you
LEint551_55:11	your	PP$(PP$)	you
LEint551_55:12	plans	NNS(NNS)	plan
LEint551_55:13	for	IN(IN)	for
LEint551_55:14	today	RB(RB)	today
LEint551_55:15	what	WP(WP)	what
LEint551_55:16	are	VBP(VBP)	be
LEint551_55:17	you	PP(PP)	you
LEint551_55:18	xx	UNI(UNI)	

LEint551_56:1	for	IN(IN)	for
LEint551_56:2	today	RB(RB)	today
LEint551_56:3	so	DM(DM)	so
LEint551_56:4	erm	UH(UH)	erm
LEint551_56:5	_0	PA(PA)	
LEint551_56:6	for	IN(IN)	for
LEint551_56:7	ba-	XX(XX)	
LEint551_56:8	you	PP(PP)	you
LEint551_56:9	we	PP(PP)	we
LEint551_56:10	have	VHP(VHP)	have
LEint551_56:11	the	DT(DT)	the
LEint551_56:12	_0	PA(PA)	
LEint551_56:13	we	PP(PP)	we
LEint551_56:14	intend	VVP(VVP)	intend
LEint551_56:15	_0	PA(PA)	
LEint551_56:16	to	TO(TO)	to
LEint551_56:17	p_partcipe	PVC(VV)	
LEint551_56:18	to	IN(IN)	to
LEint551_56:19	the	DT(DT)	the
LEint551_56:20	_0	PA(PA)	
LEint551_56:21	s_GGA	NN(NN)/NP(NP)	s_GGA

LEint551_57:1	oh	UH(UH)	oh
LEint551_57:2	i	PP(DM)	i
LEint551_57:3	see	VVP(DM)	see
LEint551_57:4	mhm	RE(RE)	mhm

LEint551_58:1	hh	BR(BR)	
LEint551_58:2	and	CC(CC)	and
LEint551_58:3	er	UH(UH)	er
LEint551_58:4	we	PP(PP)	we
LEint551_58:5	will	MD(MD)	will
LEint551_58:6	see	VV(VV)	see
LEint551_58:7	erm	UH(UH)	erm
LEint551_58:8	_2	PA(PA)	
LEint551_58:9	we	PP(PP)	we
LEint551_58:10	have	VHP(VHP)	have
LEint551_58:11	er	UH(UH)	er
LEint551_58:12	_1	PA(PA)	
LEint551_58:13	we	PP(PP)	we
LEint551_58:14	_1	PA(PA)	
LEint551_58:15	we	PP(PP)	we
LEint551_58:16	have	VHP(VHP)	have
LEint551_58:17	f_envie	FW(FW)	
LEint551_58:18	f_je	FW(FW)	
LEint551_58:19	f_ne	FW(FW)	
LEint551_58:20	f_sais	FW(FW)	
LEint551_58:21	f_pas	FW(FW)	
LEint551_58:22	f_comment	FW(FW)	
LEint551_58:23	f_dit	FW(FW)	
LEint551_58:24	hh	BR(BR)	
LEint551_58:25	we	PP(PP)	we
LEint551_58:26	have	VHP(VHP)	have
LEint551_58:27	the	DT(DT)	the
LEint551_58:28	intention	NN(NN)	intention

LEint551_59:1	mhm	RE(RE)	mhm

LEint551_60:1	to	TO(TO)	to
LEint551_60:2	participate	VV(VV)	participate
LEint551_60:3	to	TO(TO)	to
LEint551_60:4	_0	PA(PA)	
LEint551_60:5	to	TO(TO)	to
LEint551_60:6	armo-	XX(XX)	
LEint551_60:7	to	TO(TO)	to
LEint551_60:8	p_armotived	PVC(VV)	
LEint551_60:9	and	CC(CC)	and
LEint551_60:10	_1	PA(PA)	
LEint551_60:11	to	TO(TO)	to
LEint551_60:12	participate	VV(VV)	participate
LEint551_60:13	erm	UH(UH)	erm
LEint551_60:14	_0	PA(PA)	
LEint551_60:15	very	RB(RB)	very
