PRint33_63:1	it	PP(PP)	it
PRint33_63:2	's	VBS(VBS)	be
PRint33_63:3	more	JJR(JJR)	more
PRint33_63:4	like	IN(IN)	like
PRint33_63:5	a	DT(DT)	a
PRint33_63:6	village	NN(NN)	village

PRint33_64:1	yeah	RE(RE)	yeah

PRint33_65:1	yes	RE(RE)	yes

PRint33_66:1	@	LA(LA)	
PRint33_66:2	_0	PA(PA)	
PRint33_66:3	yeah	RE(RE)	yeah

PRint33_67:1	and	CC(CC)	and
PRint33_67:2	what	WP(WP)	what
PRint33_67:3	do	VVP(VVP)	do
PRint33_67:4	you	PP(PP)	you
PRint33_67:5	prefer	VV(VV)	prefer
PRint33_67:6	like	DM(DM)	like
PRint33_67:7	vienna	NP(NP)	vienna
PRint33_67:8	or	CC(CC)	or
PRint33_67:9	erm	UH(UH)	erm
PRint33_67:10	_0	PA(PA)	
PRint33_67:11	london	NP(NP)	london

PRint33_68:1	i	PP(PP)	i
PRint33_68:2	think	VVP(VVP)	think
PRint33_68:3	is	VBZ(VBZ)	be
PRint33_68:4	vienna	NP(NP)	vienna
PRint33_68:5	is	VBZ(VBZ)	be
PRint33_68:6	better	JJR(JJR)	good
PRint33_68:7	_0	PA(PA)	

PRint33_69:1	it	PP(PP)	it
PRint33_69:2	's	VBS(VBS)	be

PRint33_70:1	yeah	RE(RE)	yeah

PRint33_71:1	better	JJR(JJR)	good
PRint33_71:2	to	TO(TO)	to
PRint33_71:3	live	VV(VV)	live

PRint33_72:1	yeah	RE(RE)	yeah
PRint33_72:2	_0	PA(PA)	
PRint33_72:3	okay	RE(RE)	okay
PRint33_72:4	_0	PA(PA)	

PRint33_73:1	okay	RE(RE)	okay

PRint33_74:1	hh	BR(BR)	
PRint33_74:2	thank	FI(FI)	thank
PRint33_74:3	you	FI(FI)	you
PRint33_74:4	for	IN(IN)	for
PRint33_74:5	your	PP$(PP$)	you
PRint33_74:6	conversation	NN(NN)	conversation
PRint33_74:7	@	LA(LA)	

PRint33_75:1	@	LA(LA)	
PRint33_75:2	thank	FI(FI)	thank
PRint33_75:3	you	FI(FI)	you

PRint33_76:1	bye	FI(FI)	bye

