PRint597_52:11	at	IN(IN)	at
PRint597_52:12	the	DT(DT)	the
PRint597_52:13	end	NN(NN)	end
PRint597_52:14	of	IN(IN)	of
PRint597_52:15	_0	PA(PA)	
PRint597_52:16	our	PP$(PP$)	we
PRint597_52:17	lunch	NN(NN)	lunch
PRint597_52:18	dinner	NN(NN)	dinner
PRint597_52:19	_0	PA(PA)	
PRint597_52:20	we	PP(PP)	we
PRint597_52:21	have	VHP(VHP)	have
PRint597_52:22	fruit	NN(NN)	fruit
PRint597_52:23	_0	PA(PA)	
PRint597_52:24	x	UNI(UNI)	

PRint597_53:1	fruit	NN(NN)	fruit
PRint597_53:2	are	VBP(VBP)	be
PRint597_53:3	alwa-	XX(XX)	
PRint597_53:4	fruits	NNS(NNS)	fruit
PRint597_53:5	always	RB(RB)	always
PRint597_53:6	at	IN(IN)	at
PRint597_53:7	the	DT(DT)	the
PRint597_53:8	end	NN(NN)	end

PRint597_54:1	yeah	RE(RE)	yeah

PRint597_55:1	yeah	RE(RE)	yeah
PRint597_55:2	_0	PA(PA)	
PRint597_55:3	usually	RB(RB)	usually
PRint597_55:4	at	IN(IN)	at
PRint597_55:5	the	DT(DT)	the
PRint597_55:6	end	NN(NN)	end
PRint597_55:7	_0	PA(PA)	

PRint597_56:1	i	PP(DM)	i
PRint597_56:2	see	VVP(DM)	see

PRint597_57:1	@@	LA(LA)	

PRint597_58:1	i	PP(DM)	i
PRint597_58:2	see	VVP(DM)	see
PRint597_58:3	_0	PA(PA)	
PRint597_58:4	i	PP(DM)	i
PRint597_58:5	see	VVP(DM)	see
PRint597_58:6	okay	RE(RE)	okay
PRint597_58:7	_0	PA(PA)	

PRint597_59:1	no	RE(RE)	no

PRint597_60:1	hh	BR(BR)	
PRint597_60:2	when	WRB(WRB)	when
PRint597_60:3	did	VVD(VVD)	do
PRint597_60:4	you	PP(PP)	you
PRint597_60:5	arrive	VV(VV)	arrive
PRint597_60:6	in	IN(IN)	in
PRint597_60:7	vienna	NP(NP)	vienna
PRint597_60:8	_0	PA(PA)	

PRint597_61:1	oh	UH(UH)	oh
PRint597_61:2	yesterday	RB(RB)	yesterday
PRint597_61:3	_0	PA(PA)	
PRint597_61:4	right	DM(DM)	right
PRint597_61:5	_0	PA(PA)	
PRint597_61:6	no	RE(RE)	no
PRint597_61:7	_0	PA(PA)	

PRint597_62:1	today	RB(RB)	today

PRint597_63:1	no	RE(RE)	no

PRint597_64:1	@@@@@	LA(LA)	

PRint597_65:1	today	RB(RB)	today
PRint597_65:2	@@	LA(LA)	
PRint597_65:3	yeah	RE(RE)	yeah

PRint597_66:1	today	RB(RB)	today
PRint597_66:2	_0	PA(PA)	
PRint597_66:3	really	RB(RB)	really

PRint597_67:1	@@	LA(LA)	
PRint597_67:2	hh	BR(BR)	
PRint597_67:3	it	PP(PP)	it
PRint597_67:4	seems	VVZ(VVZ)	seem
PRint597_67:5	so	RB(RB)	so
PRint597_67:6	long	JJ(JJ)	long

PRint597_68:1	it	PP(PP)	it
PRint597_68:2	see-	XX(XX)	

PRint597_69:1	@@	LA(LA)	

PRint597_70:1	yeah	RE(RE)	yeah
PRint597_70:2	it	PP(PP)	it
PRint597_70:3	feel-	XX(XX)	
PRint597_70:4	xx	UNI(UNI)	
PRint597_70:5	we	PP(PP)	we
PRint597_70:6	we	PP(PP)	we
PRint597_70:7	we	PP(PP)	we
PRint597_70:8	did	VVD(VVD)	do
PRint597_70:9	already	RB(RB)	already
PRint597_70:10	a	DT(DT)	a
PRint597_70:11	lot	NN(NN)	lot
PRint597_70:12	of	IN(IN)	of
PRint597_70:13	things	NNS(NNS)	thing
PRint597_70:14	_0	PA(PA)	

PRint597_71:1	@@@	LA(LA)	

PRint597_72:1	@@@	LA(LA)	

PRint597_73:1	no	RE(RE)	no
PRint597_73:2	actually	RB(RB)	actually
PRint597_73:3	yes	RE(RE)	yes
PRint597_73:4	this	DT(DT)	this
PRint597_73:5	morning	NN(NN)	morning
PRint597_73:6	this	DT(DT)	this
PRint597_73:7	morning	NN(NN)	morning

PRint597_74:1	xx	UNI(UNI)	

PRint597_75:1	o-	XX(XX)	

PRint597_76:1	yo-	XX(XX)	
PRint597_76:2	you	PP(PP)	you
PRint597_76:3	slept	VVD(VVD)	sleep
PRint597_76:4	a	RB(RB)	a
PRint597_76:5	lot	RB(RB)	lot
PRint597_76:6	_0	PA(PA)	

PRint597_77:1	yeah	RE(RE)	yeah
PRint597_77:2	i	PP(PP)	i
PRint597_77:3	slept	VVD(VVD)	sleep
PRint597_77:4	a	RB(RB)	a
PRint597_77:5	lot	RB(RB)	lot
PRint597_77:6	_0	PA(PA)	

PRint597_78:1	@@@	LA(LA)	

PRint597_79:1	yes	RE(RE)	yes
PRint597_79:2	_0	PA(PA)	
PRint597_79:3	we	PP(PP)	we
PRint597_79:4	we	PP(PP)	we
PRint597_79:5	did	VVD(VVD)	do
PRint597_79:6	a	DT(DT)	a
PRint597_79:7	lot	NN(NN)	lot
PRint597_79:8	of	IN(IN)	of
PRint597_79:9	things	NNS(NNS)	thing
PRint597_79:10	_0	PA(PA)	

PRint597_80:1	yesterday	RB(RB)	yesterday

PRint597_81:1	i	PP(PP)	i
PRint597_81:2	slept	VVD(VVD)	sleep
PRint597_81:3	a	RB(RB)	a
PRint597_81:4	lot	RB(RB)	lot
PRint597_81:5	@@	LA(LA)	
PRint597_81:6	hh	BR(BR)	
PRint597_81:7	probably	RB(RB)	probably
PRint597_81:8	you	PP(PP)	you
PRint597_81:9	had	VHD(VHD)	have
PRint597_81:10	a	DT(DT)	a
PRint597_81:11	lot	NN(NN)	lot
PRint597_81:12	of	IN(IN)	of
PRint597_81:13	dreams	NNS(NNS)	dream
PRint597_81:14	_0	PA(PA)	

PRint597_82:1	@@@@@@@	LA(LA)	

PRint597_83:1	yeah	RE(RE)	yeah
PRint597_83:2	_0	PA(PA)	
PRint597_83:3	that	DT(DT)	that
PRint597_83:4	's	VBS(VBS)	be
PRint597_83:5	right	JJ(JJ)	right
PRint597_83:6	that	DT(DT)	that
PRint597_83:7	's	VBS(VBS)	be
PRint597_83:8	right	JJ(JJ)	right

PRint597_84:1	i	PP(PP)	i
PRint597_84:2	had	VHD(VHD)	have
PRint597_84:3	to	TO(TO)	to

PRint597_85:1	@@	LA(LA)	

PRint597_86:1	yeah	RE(RE)	yeah
PRint597_86:2	i	PP(PP)	i
PRint597_86:3	had	VHD(VHD)	have
PRint597_86:4	to	TO(TO)	to
PRint597_86:5	recover	VV(VV)	recover
PRint597_86:6	because	IN(IN)	because
PRint597_86:7	this	DT(DT)	this
PRint597_86:8	morning	NN(NN)	morning
PRint597_86:9	we	PP(PP)	we
PRint597_86:10	woke	VVD(VVD)	wake
PRint597_86:11	up	RP(RP)	up
PRint597_86:12	_0	PA(PA)	
PRint597_86:13	quite	RB(RB)	quite
PRint597_86:14	early	RB(RB)	early
PRint597_86:15	like	DM(DM)	like
PRint597_86:16	six	CD(CD)	six
PRint597_86:17	o'clock	RB(RB)	o'clock
PRint597_86:18	_0	PA(PA)	

PRint597_87:1	yeah	RE(RE)	yeah

PRint597_88:1	six	CD(CD)	six

PRint597_89:1	because	IN(IN)	because
PRint597_89:2	we	PP(PP)	we
PRint597_89:3	had	VHD(VHD)	have
PRint597_89:4	our	PP$(PP$)	we
PRint597_89:5	flight	NN(NN)	flight
PRint597_89:6	from	IN(IN)	from
PRint597_89:7	a_[place19]	NP(NP)	
PRint597_89:8	leaving	VVG(VVG)	leave
